gene ID,gene name,eye-1,eye-2,eye-3,wing-1,wing-3,wing-4
FBgn0037230,CG9780,3,2,0,0,0,5
FBgn0262214,mir-929,0,0,0,0,0,0
FBgn0027930,MP1,1505,1698,1361,1798,1903,3494
FBgn0037231,Vps24,1088,1110,955,971,965,2036
FBgn0037232,CG9791,431,430,354,526,510,907
FBgn0261086,Syt14,75,72,94,8,12,30
FBgn0037234,CG9795,1401,1418,1272,1220,1356,2848
FBgn0027866,CG9776,3485,3402,2971,2661,3020,6792
FBgn0037236,Skp2,675,872,758,1041,1123,2174
FBgn0040687,CG14645,0,0,1,0,1,0
FBgn0037235,CG1103,1573,1517,1496,1658,1560,3014
FBgn0261434,hkb,0,0,0,0,2,0
FBgn0037238,CG1090,240,186,172,0,0,5
FBgn0266227,CR44922,170,116,140,0,0,4
FBgn0037239,CG11739,482,496,425,581,521,987
FBgn0037240,Cont,12561,12965,10986,9102,9904,21645
FBgn0003882,tub,1497,1696,1345,1692,1537,3297
FBgn0037241,CG14646,747,785,791,690,787,1342
FBgn0086608,CG34112,112,111,137,139,176,364
FBgn0267661,CR45999,12,18,18,26,26,70
FBgn0037242,CG9855,1194,1099,1102,1110,1132,2109
FBgn0086605,CG9853,869,843,807,957,992,1896
FBgn0037244,CG14647,671,700,529,728,639,1437
FBgn0266697,CR45187,15,15,28,13,12,34
FBgn0263594,lost,17419,17612,16480,19695,19237,36513
FBgn0052944,CG32944,79,50,65,11,19,26
FBgn0051528,CG31528,0,0,0,0,1,0
FBgn0037248,srl,2114,2155,2323,2652,3050,5086
FBgn0051525,CG31525,0,0,0,0,0,0
FBgn0037249,eIF3-S10,11292,11480,10367,11506,12543,24412
FBgn0037250,CG1074,516,587,483,613,601,1075
FBgn0037251,CG9804,326,355,293,352,339,671
FBgn0264983,CR44134,0,0,0,0,1,0
FBgn0037252,CG14650,2191,2299,2078,2027,2276,4440
FBgn0051522,CG31522,1109,1112,1137,969,1118,2185
FBgn0263620,CR43629,15,7,10,11,12,36
FBgn0051523,CG31523,2025,1988,1701,1706,1993,3938
FBgn0037254,CG14651,0,0,1,3,0,0
FBgn0037255,Fip1,1807,1757,1670,1783,1924,3961
FBgn0085386,CG34357,0,0,0,0,0,0
FBgn0085454,CG34425,0,0,0,0,0,0
FBgn0051526,CG31526,0,0,0,0,0,0
FBgn0037260,Mur82C,0,0,0,0,0,0
FBgn0052945,CG32945,0,0,0,0,0,0
FBgn0267118,CR45558,0,0,0,0,0,0
FBgn0265376,CR44317,0,0,0,0,0,0
FBgn0087012,5-HT2A,0,1,0,0,0,0
FBgn0267233,CR45673,0,0,0,0,0,0
FBgn0037261,CG9775,3512,3309,3190,3079,3354,6803
FBgn0037262,MED31,815,831,738,853,917,1893
FBgn0037263,slx1,62,69,54,63,67,110
FBgn0040466,Dip2,228,208,231,235,178,524
FBgn0022981,rpk,335,321,217,712,689,1162
FBgn0265038,CR44155,4,2,1,4,1,4
FBgn0087013,Karybeta3,8550,8561,8169,9389,10194,19221
FBgn0037265,spartin,174,208,203,149,112,259
FBgn0263346,CG43427,3305,3126,2733,1977,2387,4134
FBgn0265039,CR44156,0,0,0,0,0,0
FBgn0265040,CR44157,2,0,4,0,0,6
FBgn0053927,CG33927,0,0,0,0,0,0
FBgn0037270,CG9769,3665,3820,3264,3847,3912,7638
FBgn0266228,CR44923,18,19,24,10,15,10
FBgn0027570,Nep2,4599,4248,3732,1964,2168,3811
FBgn0026620,tacc,5882,6212,5582,5794,5777,12647
FBgn0010750,atms,1717,1837,1570,1759,1793,3231
FBgn0264907,CG44098,1,5,0,0,0,0
FBgn0264897,CG44088,0,0,0,0,0,0
FBgn0037275,CG14655,11,16,15,0,0,3
FBgn0037276,CG17387,22,14,8,3,7,23
FBgn0260794,ctrip,7932,7600,7434,6092,7263,13396
FBgn0026417,Hus1-like,205,183,144,150,196,346
FBgn0037279,CG1129,1644,1615,1431,1539,1463,3269
FBgn0037280,CG1126,2,2,0,0,3,0
FBgn0037282,CG14657,1602,1717,1540,1774,1614,3407
FBgn0037283,CG14658,0,0,0,0,0,0
FBgn0037284,CG14659,0,0,0,0,0,0
FBgn0003002,opa,501,550,526,220,278,610
FBgn0020280,laf,0,0,0,0,0,0
FBgn0267140,CR45580,0,0,0,0,0,0
FBgn0004913,Gnf1,1844,2170,1910,2086,2046,4369
FBgn0265082,Cdep,2839,2714,2442,2666,2732,5461
FBgn0266698,CR45188,1,8,4,1,0,2
FBgn0004183,snRNA:U1:82Eb,0,0,0,0,0,0
FBgn0004436,Ubc6,2963,3299,2834,3088,3162,6379
FBgn0037288,CG14661,0,0,0,0,0,0
FBgn0250839,CG2016,177,113,126,502,530,1072
FBgn0037290,CG1124,46,37,31,7,5,25
FBgn0037291,CG14662,0,0,2,0,1,12
FBgn0263455,CR43478,0,0,0,4,3,15
FBgn0263343,CR43424,0,0,0,0,0,4
FBgn0037292,CG2022,0,0,0,0,2,6
FBgn0267145,CR45585,0,0,0,0,0,0
FBgn0263626,CR43635,1,1,3,1,3,5
FBgn0267148,CR45588,2,0,0,2,0,10
FBgn0010313,corto,3039,2894,2933,2080,1939,4772
FBgn0262605,CG43131,0,9,1,1,4,9
FBgn0037293,CG12007,504,560,484,587,533,1166
FBgn0040684,CG12589,0,2,0,0,0,0
FBgn0037295,dpr16,97,70,75,35,35,128
FBgn0037294,CG12590,1,2,9,0,0,0
FBgn0259212,cno,4569,4456,3806,3233,3680,7096
FBgn0263018,snRNA:U4atac:82E,7,2,0,1,2,0
FBgn0037296,Prosbeta2R2,4,0,0,0,0,4
FBgn0037297,CG1116,478,432,441,488,400,921
FBgn0037298,CG2604,1319,1367,1176,1504,1390,2876
FBgn0040682,CG14664,0,4,0,0,4,238
FBgn0037299,Vps37B,965,932,890,1054,935,1773
FBgn0040208,Kat60,1772,1710,1597,1652,1713,3538
FBgn0037301,Mms19,854,847,801,1052,1026,2284
FBgn0087005,rtp,18,14,16,0,2,4
FBgn0260462,CG12163,6584,6443,5678,4832,5082,9921
FBgn0053293,CG33293,3,13,8,3,2,16
FBgn0264789,CR44019,4,0,0,3,1,12
FBgn0037304,CG1113,7,0,2,0,0,1
FBgn0037305,CG12173,663,830,610,896,841,1755
FBgn0264785,Hph,810,845,835,698,676,1535
FBgn0037307,Tim17a2,0,0,0,0,0,0
FBgn0267443,CR45793,0,4,7,0,5,6
FBgn0266393,CR45033,0,0,0,0,0,0
FBgn0013576,mtd,3185,3322,3374,3165,2982,5893
FBgn0051538,CG31538,64,36,50,13,18,55
FBgn0037310,Tim17b1,0,0,0,0,0,0
FBgn0037312,CG11999,674,561,512,613,650,1240
FBgn0037313,CG1161,988,930,850,956,910,1974
FBgn0250746,Prosbeta7,2460,2398,2129,2813,2876,5348
FBgn0037315,Cerk,588,624,735,701,560,1243
FBgn0264912,CR44103,0,0,0,0,0,0
FBgn0085306,CG34277,0,0,0,0,0,0
FBgn0051542,CG31542,0,0,0,0,0,0
FBgn0003275,RpII18,891,820,821,1130,975,2083
FBgn0086695,hd,226,217,194,239,232,510
FBgn0037317,CG14667,295,270,290,287,247,550
FBgn0041707,7B2,105,84,79,0,0,0
FBgn0001311,kkv,5392,5208,5039,4039,4013,9741
FBgn0037320,CG14668,6,12,26,6,4,13
FBgn0011965,tRNA:R:83AB,0,0,0,0,0,0
FBgn0264712,CG1172,574,578,472,483,474,1220
FBgn0037322,Or83a,1,0,0,0,0,0
FBgn0037323,CG2663,1,11,4,356,344,607
FBgn0037324,Orco,3,0,0,0,0,0
FBgn0037326,CG14669,39,36,43,2,3,1
FBgn0037325,CG12147,0,0,0,0,0,0
FBgn0037327,PEK,2363,2500,2274,2335,2296,4804
FBgn0037328,RpL35A,13960,13136,12415,15418,15415,31206
FBgn0037329,CG12162,315,337,274,277,263,618
FBgn0037330,mRpL44,576,583,525,686,751,1529
FBgn0011715,Snr1,1587,1700,1313,1707,1600,3256
FBgn0025825,Hdac3,0,0,0,0,0,0
FBgn0266539,CG45100,0,0,0,0,0,0
FBgn0037332,Hcs,707,664,608,633,635,1301
FBgn0015402,ksr,912,1048,872,826,709,1712
FBgn0051550,CG31550,1752,1648,1573,1423,1658,3487
FBgn0051547,CG31547,173,171,160,54,41,60
FBgn0010399,Nmdar1,0,2,2,2,0,4
FBgn0010051,Itp-r83A,2070,1914,1920,1465,1476,3360
FBgn0264427,CR43845,0,0,0,0,0,0
FBgn0037336,CG2519,4107,4208,3899,2922,3080,6354
FBgn0014342,mia,265,275,231,247,208,590
FBgn0086768,Pcmt,1202,1316,1108,1416,1399,2820
FBgn0037338,Snm1,499,557,546,518,468,1077
FBgn0037339,Pi4KIIalpha,696,687,633,564,554,1151
FBgn0263484,snoRNA:Pi4KIIalpha-a,0,0,0,0,0,0
FBgn0037340,CG14671,242,216,203,230,228,570
FBgn0037341,CG12746,340,289,328,297,289,655
FBgn0037342,CG2931,347,326,254,350,354,816
FBgn0041191,Rheb,1205,1249,1108,1426,1279,2601
FBgn0023023,CRMP,443,409,360,262,351,748
FBgn0037344,CG2926,5855,5381,5091,4422,5018,10480
FBgn0037345,rev7,92,107,92,92,95,209
FBgn0014366,noi,1471,1582,1372,1733,1573,3320
FBgn0015324,Vha26,3468,3560,3341,3303,3294,6556
FBgn0250753,kra,18893,20073,18917,20269,22406,42592
FBgn0082961,snoRNA:Psi28S-3385b,5,0,9,0,0,3
FBgn0082962,snoRNA:Psi28S-3385a,0,7,5,1,0,0
FBgn0082978,snoRNA:Psi28S-3091b,1,6,7,1,4,15
FBgn0082979,snoRNA:Psi28S-3091a,2,8,4,1,0,4
FBgn0082954,snoRNA:Psi28S-3571,1,4,2,5,0,10
FBgn0086662,snoRNA:Psi28S-3186,4,6,14,1,5,1
FBgn0082988,snoRNA:Psi28S-2442b,7,14,13,7,4,13
FBgn0082989,snoRNA:Psi28S-2442a,4,15,8,1,17,12
FBgn0037347,CG1427,791,878,741,790,849,1826
FBgn0261004,asl,1895,2098,1790,1930,1872,4202
FBgn0017550,Rga,3267,3145,2703,2970,3313,6516
FBgn0263619,CR43628,7,15,2,4,2,8
FBgn0019637,Atu,1864,2001,1699,1920,1992,4445
FBgn0044823,Spec2,311,273,269,353,270,675
FBgn0037350,CG2911,67,82,55,79,69,192
FBgn0037351,RpL13A,16612,15389,14601,17264,17960,32716
FBgn0260002,snoRNA:Me28S-U2134b,0,0,2,1,0,0
FBgn0086051,snoRNA:Me28S-U2134a,0,0,0,0,0,0
FBgn0051551,CG31551,2,3,4,2,18,4
FBgn0051549,CG31549,423,420,362,628,620,1037
FBgn0037354,CG12171,537,511,480,621,625,1274
FBgn0051546,CG31546,1,0,0,0,4,2
FBgn0051548,CG31548,438,395,332,501,441,847
FBgn0037356,CG12170,173,180,159,209,136,349
FBgn0027951,MTA1-like,4112,4282,3875,3493,3880,7034
FBgn0262125,Sec23,3631,3212,2948,3009,3391,6779
FBgn0037358,elm,598,653,549,701,601,1207
FBgn0037359,MED27,351,387,341,366,367,868
FBgn0037360,CG2182,2922,2827,2678,2595,2544,5841
FBgn0264902,CR44093,24,10,16,20,19,59
FBgn0046222,CG1109,1527,1480,1441,1424,1637,3322
FBgn0010772,Xe7,3660,3249,3171,2409,2955,7129
FBgn0037363,Atg17,1432,1661,1435,1029,987,2360
FBgn0037364,Rab23,1215,1215,1089,1129,1119,2456
FBgn0261261,plx,1353,1234,1175,475,476,949
FBgn0037365,CG2104,0,0,0,0,0,0
FBgn0004878,cas,4,16,6,9,9,15
FBgn0266229,CR44924,0,0,0,0,0,0
FBgn0037368,CG1239,236,187,168,266,186,475
FBgn0037369,CG2100,654,680,618,768,858,1442
FBgn0037370,CG1236,1303,1269,1115,1307,1372,2636
FBgn0037371,Sym,1427,1533,1437,1432,1556,3250
FBgn0027497,Madm,1345,1075,1168,1139,1299,2258
FBgn0037372,CG2091,943,955,906,1017,1047,2068
FBgn0266672,Sec8,1543,1698,1526,1585,1692,3293
FBgn0027608,CG2082,39,18,17,21,13,57
FBgn0037374,jagn,1028,1028,971,1185,1233,2444
FBgn0037375,kat-60L1,260,296,221,0,2,8
FBgn0037376,CG2051,1265,1425,1284,1555,1493,2984
FBgn0028690,Rpn5,5584,5588,5113,5868,6117,11641
FBgn0037377,CG1218,648,714,638,822,883,1756
FBgn0037378,CG2046,600,609,600,809,680,1563
FBgn0037379,CG10979,816,895,679,684,625,1674
FBgn0263353,CG11000,35,21,25,16,8,54
FBgn0261561,CG42675,51,52,53,117,95,242
FBgn0037382,Hpr1,755,830,719,759,650,1650
FBgn0037383,CG2023,171,205,163,186,157,443
FBgn0037384,dgrn,462,516,469,612,539,1052
FBgn0037385,glob3,0,0,0,0,0,0
FBgn0037386,CG1208,0,0,1,7,0,0
FBgn0266702,CR45192,0,0,0,0,0,0
FBgn0037387,CG1213,4,1,0,0,2,35
FBgn0037388,CG14676,0,0,0,0,0,0
FBgn0037389,CR10991,0,0,0,0,0,0
FBgn0029088,disp,1582,1386,1426,1512,1713,3340
FBgn0085316,CG34287,0,0,0,0,0,0
FBgn0028436,ECSIT,291,275,274,283,238,719
FBgn0037391,CG2017,614,618,627,521,608,1081
FBgn0083949,CG34113,94,95,85,3,11,3
FBgn0267399,CR45761,0,0,0,0,0,0
FBgn0267400,CR45762,0,0,0,0,0,0
FBgn0040679,CG11373,0,0,0,0,0,0
FBgn0266230,CR44925,0,0,0,0,0,0
FBgn0266231,CR44926,0,0,0,0,0,0
FBgn0011281,Obp83a,0,0,0,0,0,0
FBgn0010403,Obp83b,0,0,0,0,0,0
FBgn0266232,CR44927,0,0,0,0,0,0
FBgn0266233,CR44928,0,0,0,0,3,0
FBgn0003261,Rm62,29564,31145,28038,30323,31501,63363
FBgn0037395,CG10280,0,2,0,0,2,6
FBgn0037396,CG11459,0,0,0,0,3,0
FBgn0037397,CR1075,0,0,0,0,0,0
FBgn0266226,CR44921,0,0,0,0,0,0
FBgn0037398,CG15580,0,5,0,0,0,0
FBgn0037399,Or83c,0,0,0,0,0,0
FBgn0026077,Gasp,3957,4443,3800,1010,886,1790
FBgn0266234,CR44929,1,1,0,0,0,0
FBgn0046878,Obp83cd,4,1,7,3,4,1
FBgn0046876,Obp83ef,0,0,0,2,0,0
FBgn0046875,Obp83g,79,71,77,55,48,101
FBgn0037402,Vha14-2,0,1,0,1,2,3
FBgn0263497,CR43486,0,0,0,0,0,0
FBgn0263498,CR43487,0,0,0,0,0,0
FBgn0051559,CG31559,236,90,100,95,154,261
FBgn0037405,CG1077,0,0,0,0,2,0
FBgn0037406,Osi1,0,0,2,0,2,2
FBgn0266704,CR45194,0,0,0,0,0,0
FBgn0051562,CR31562,0,0,0,0,0,0
FBgn0037408,NPFR,0,15,4,0,1,0
FBgn0037409,Osi24,467,433,414,92,161,248
FBgn0037410,Osi2,39,42,42,114,81,180
FBgn0037411,Osi3,2,1,3,0,0,2
FBgn0037412,Osi4,147,161,140,0,0,0
FBgn0037413,Osi5,3,1,3,1,0,0
FBgn0027527,Osi6,104,78,63,0,2,0
FBgn0037414,Osi7,13,9,8,0,0,1
FBgn0037415,Osi8,0,0,0,0,0,0
FBgn0037416,Osi9,33,23,44,19,1,5
FBgn0037417,Osi10,0,0,0,0,0,0
FBgn0037418,Osi11,0,0,0,0,0,0
FBgn0037419,Osi12,0,0,0,0,0,1
FBgn0037420,CG15597,0,0,0,2,3,5
FBgn0037421,CG15594,0,0,0,0,0,1
FBgn0037422,Osi13,0,0,0,0,0,0
FBgn0040279,Osi14,4,2,1,58,24,104
FBgn0037424,Osi15,0,0,0,0,0,1
FBgn0051561,Osi16,0,0,0,0,0,0
FBgn0267690,CG46026,0,0,0,0,0,0
FBgn0051560,CG31560,0,0,0,0,0,0
FBgn0037427,Osi17,40,32,40,0,1,0
FBgn0037428,Osi18,0,0,0,0,0,0
FBgn0037429,Osi19,0,0,0,0,0,0
FBgn0037430,Osi20,0,0,0,0,0,0
FBgn0037431,CG17917,0,0,0,0,0,0
FBgn0037432,CG10298,0,0,0,0,2,0
FBgn0037433,CG17919,1123,1081,1068,1467,1489,2866
FBgn0261789,SmD2,2099,2157,1958,2576,2226,5132
FBgn0037435,CG18048,218,237,204,239,202,530
FBgn0037436,Hr83,0,0,1,0,0,0
FBgn0267698,Pak,2192,2086,2093,1904,1968,3744
FBgn0261641,CG42724,5947,5667,5583,4394,5461,12574
FBgn0037439,CG10286,1492,1830,1476,2018,1979,3782
FBgn0037440,CG1041,1461,1239,1205,1085,1196,2338
FBgn0260766,CG42564,21,22,12,11,14,26
FBgn0261006,snoRNA:83E4-5,0,1,2,0,0,0
FBgn0027514,CG1024,628,712,610,658,583,1302
FBgn0260645,CG42537,0,0,1,0,0,2
FBgn0010282,TfIIFalpha,2108,1825,1680,1892,1995,4746
FBgn0037442,godzilla,1193,1319,1217,1025,1140,2004
FBgn0037443,Dmtn,2756,2629,2409,1832,2281,4291
FBgn0264495,gpp,3279,3236,2821,2435,2971,5301
FBgn0264787,CR44017,0,0,0,0,0,0
FBgn0037445,CG9727,1407,1396,1261,1235,1262,2618
FBgn0037446,Zif,1159,1235,1143,1158,1165,2618
FBgn0037447,Neurochondrin,60,43,49,16,18,67
FBgn0037448,CG15186,10,2,3,6,3,25
FBgn0011919,tRNA:M2:83F,0,0,0,0,0,0
FBgn0037449,CG15185,0,0,0,0,0,0
FBgn0053202,dpr11,20,12,9,0,0,0
FBgn0046873,Pif2,0,0,0,0,0,0
FBgn0037454,CG1137,0,0,0,0,0,0
FBgn0037455,CG2336,0,0,0,0,0,0
FBgn0037456,CG1138,0,0,0,0,0,0
FBgn0051482,CG31482,0,0,0,0,0,0
FBgn0250846,glob2,0,0,0,0,0,0
FBgn0037460,sowi,0,0,0,0,0,0
FBgn0037461,CG15177,0,0,0,0,0,0
FBgn0037462,sunz,0,0,0,0,0,0
FBgn0051286,CG31286,0,0,0,0,0,0
FBgn0026565,CG1315,0,0,0,0,0,0
FBgn0010355,Taf1,3165,3125,2931,2458,2679,6076
FBgn0026566,CG1307,643,620,682,746,713,1596
FBgn0262801,twr,2323,1960,1886,2339,2347,4783
FBgn0024912,agt,111,113,99,145,88,249
FBgn0002522,lab,225,213,168,7,11,12
FBgn0000552,Edg84A,0,0,0,0,0,0
FBgn0004777,Ccp84Ag,0,0,0,0,0,0
FBgn0004778,Ccp84Af,0,0,0,0,0,0
FBgn0004779,Ccp84Ae,0,0,0,0,0,0
FBgn0004780,Ccp84Ad,1,0,0,0,1,0
FBgn0004781,Ccp84Ac,1,0,0,0,0,0
FBgn0063127,pncr002:3R,12152,14886,10899,595,480,1066
FBgn0004782,Ccp84Ab,2,6,3,0,4,0
FBgn0004783,Ccp84Aa,20,21,18,1,0,0
FBgn0051481,pb,10,20,6,0,0,0
FBgn0004054,zen2,0,0,0,0,0,0
FBgn0085326,CG34297,0,0,0,0,0,0
FBgn0004053,zen,0,0,0,0,0,0
FBgn0000166,bcd,0,0,0,0,0,0
FBgn0267153,CR45593,6,8,8,7,3,29
FBgn0000071,Ama,2463,2458,2021,3957,4141,7770
FBgn0266235,CR44930,1,0,0,0,8,3
FBgn0261638,CR42721,0,1,0,0,0,0
FBgn0262174,mir-993,0,0,0,0,0,0
FBgn0263383,CR43435,0,0,0,0,0,0
FBgn0000439,Dfd,706,654,610,0,0,0
FBgn0261503,CR42651,0,0,0,4,6,0
FBgn0262424,mir-10,0,0,0,0,0,0
FBgn0267575,CR45915,0,0,0,0,0,0
FBgn0051485,tRNA:CR31485:Psi,0,0,0,0,0,0
FBgn0026162,tRNA:K5:84ABd,0,0,0,0,0,0
FBgn0261504,7SLRNA:CR42652,1,4,1,2,3,2
FBgn0026163,tRNA:K5:84ABc,0,0,0,0,0,0
FBgn0026164,tRNA:K5:84ABb,0,0,0,0,0,0
FBgn0000003,7SLRNA:CR32864,4,5,5,4,9,0
FBgn0011904,tRNA:K5:84ABa,0,0,0,0,0,0
FBgn0003339,Scr,302,292,208,2,13,14
FBgn0267561,CR45901,1,0,0,0,0,0
FBgn0267562,CR45902,0,0,0,0,0,0
FBgn0267563,CR45903,4,0,0,0,0,0
FBgn0267564,CR45904,0,0,0,0,0,0
FBgn0267565,CR45905,0,0,0,0,0,0
FBgn0267560,CR45900,0,0,0,0,0,0
FBgn0001077,ftz,0,0,0,0,0,0
FBgn0266236,CR44931,0,0,0,0,0,0
FBgn0267119,CR45559,51,42,45,3,3,2
FBgn0266237,CR44932,0,0,0,39,53,156
FBgn0260642,Antp,3,2,0,1957,1957,4759
FBgn0262897,CR43252,0,0,0,10,8,29
FBgn0267559,CR45899,0,0,0,5,8,7
FBgn0266238,CR44933,0,0,0,34,20,55
FBgn0024289,Sodh-1,0,0,2,0,0,1
FBgn0026563,CG1979,0,0,0,0,0,3
FBgn0019828,dj,0,0,0,0,0,0
FBgn0037463,djl,0,0,0,0,0,0
FBgn0037464,CG1988,0,0,0,0,0,0
FBgn0037465,CG1105,593,712,618,828,725,1376
FBgn0037466,CG1965,1852,1564,1706,1384,1580,3933
FBgn0037467,CG1104,1155,1195,1046,970,994,2510
FBgn0267568,CR45908,2,3,1,0,3,7
FBgn0037468,CG1943,5608,6136,5051,6173,5296,10616
FBgn0010774,Ref1,4314,3831,3792,4229,4426,8700
FBgn0037469,Dpck,162,170,159,131,84,307
FBgn0037470,CG1091,1719,1876,1552,1754,1930,3785
FBgn0267567,CR45907,18,17,19,30,18,39
FBgn0003884,alphaTub84B,68315,66684,59370,63425,71423,141263
FBgn0263768,CR43685,419,489,433,431,373,829
FBgn0040670,e(y)2b,17,19,16,20,12,13
FBgn0261238,Alh,3237,3220,2766,2093,2690,4926
FBgn0267566,CR45906,0,0,0,0,0,0
FBgn0014863,Mlp84B,45,20,22,37,21,152
FBgn0037472,CG10098,1283,1227,1213,1098,1026,2077
FBgn0037473,CG10068,289,301,229,315,318,610
FBgn0262149,CR42875,9,23,15,6,7,53
FBgn0051248,CG31248,0,2,3,14,2,12
FBgn0051494,tRNA:CR31494,0,0,0,0,0,0
FBgn0051491,tRNA:CR31491,0,0,0,0,0,0
FBgn0051493,CG31493,0,0,0,0,0,0
FBgn0037475,Fer1,0,0,0,0,0,0
FBgn0261702,CR42738,0,0,0,0,0,0
FBgn0037477,CG14610,0,0,0,0,0,0
FBgn0037478,CG2656,423,382,365,556,505,959
FBgn0250732,gfzf,1489,1796,1480,1613,1289,3606
FBgn0011020,Sas-4,949,1118,938,984,998,2276
FBgn0037481,MAGE,148,168,128,189,123,300
FBgn0267569,CR45909,0,1,0,5,6,0
FBgn0002306,sas,3810,4181,3695,2984,3379,7935
FBgn0037482,CG10055,476,549,493,471,541,971
FBgn0086372,lap,2682,2865,2580,2101,2580,4777
FBgn0037483,CG14609,9,8,7,0,22,15
FBgn0250845,CG1288,0,0,0,0,0,0
FBgn0037485,CG14606,0,0,0,0,0,0
FBgn0037486,CG14605,0,0,0,0,0,0
FBgn0037487,CG14608,64,89,71,11,34,74
FBgn0037488,CG14607,0,0,0,0,0,0
FBgn0037489,CG1234,1244,1281,1214,1566,1471,2815
FBgn0037490,CG10053,232,282,234,284,257,548
FBgn0037491,CG1227,246,264,211,201,216,564
FBgn0037492,CG10050,192,266,176,175,145,345
FBgn0011282,Obp84a,0,0,1,0,1,3
FBgn0001112,Gld,151,261,219,468,404,889
FBgn0265426,CR44338,0,0,0,0,1,0
FBgn0028400,Syt4,1436,1435,1279,12,10,9
FBgn0037493,CG10032,0,0,0,0,0,0
FBgn0267337,rn,1503,1601,1698,2644,2870,6759
FBgn0265421,CR44333,1,1,5,10,19,39
FBgn0045843,RacGAP84C,1,0,0,0,0,0
FBgn0260713,CG42544,0,0,0,0,0,0
FBgn0265422,CR44334,8,12,6,393,316,830
FBgn0037498,CG10029,0,0,0,8,8,31
FBgn0265423,CG44335,0,0,0,23,16,40
FBgn0265424,CR44336,0,0,0,0,2,0
FBgn0265425,CR44337,0,0,0,0,0,0
FBgn0051496,CG31496,0,0,0,3,0,3
FBgn0051501,nxf4,0,0,0,0,0,0
FBgn0262982,CG43290,0,0,0,0,0,0
FBgn0037500,CG17944,0,0,0,0,0,0
FBgn0004175,Mst84Dd,0,0,0,0,0,0
FBgn0004174,Mst84Dc,0,0,0,0,0,0
FBgn0004173,Mst84Db,0,0,0,0,0,0
FBgn0004172,Mst84Da,0,0,0,0,0,0
FBgn0015770,MstProx,1,0,0,0,1,0
FBgn0267120,CR45560,0,0,0,0,0,0
FBgn0261502,CG42650,0,0,0,0,0,0
FBgn0037501,Ir84a,0,0,0,0,0,0
FBgn0051544,CG31544,0,0,0,0,0,0
FBgn0054023,CG34023,0,0,0,0,0,0
FBgn0037502,wa-cup,0,0,0,0,0,0
FBgn0037503,CG14598,90,87,40,184,179,399
FBgn0011999,tRNA:V3b:84Db,0,0,0,0,0,0
FBgn0263565,mir-4950,0,0,0,0,0,0
FBgn0011998,tRNA:V3b:84Da,0,0,0,0,0,0
FBgn0266239,CR44934,0,0,0,0,0,0
FBgn0012000,tRNA:V3b:84Dc,0,0,0,0,0,0
FBgn0037504,CG1142,1302,1466,1182,1614,1553,3249
FBgn0043853,scaRNA:MeU5-C46,31,32,28,23,10,83
FBgn0065099,snRNA:7SK,155,139,144,124,125,178
FBgn0012001,tRNA:V3b:84Dd,0,0,0,0,0,0
FBgn0015569,alpha-Est10,133,91,79,44,58,191
FBgn0261508,CG42656,0,0,0,0,0,0
FBgn0015577,alpha-Est9,16,20,35,5,3,4
FBgn0037506,CG1287,0,0,0,0,0,0
FBgn0015576,alpha-Est8,2,2,1,3,0,1
FBgn0017456,Ubc84D,0,0,0,0,0,1
FBgn0015575,alpha-Est7,4,8,7,1,3,16
